>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 78 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:47 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: CookieFolder | ErrorNo => 8 | ErrorFile => 64 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:51 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'time' | ErrorNo => 2 | ErrorFile => 53 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:53 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'time' | ErrorNo => 2 | ErrorFile => 53 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:53 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'time' | ErrorNo => 2 | ErrorFile => 53 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:53 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'time' | ErrorNo => 2 | ErrorFile => 53 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:53 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'time' | ErrorNo => 2 | ErrorFile => 53 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:53 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'time' | ErrorNo => 2 | ErrorFile => 53 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:53 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'time' | ErrorNo => 2 | ErrorFile => 53 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:53 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'time' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:54 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:54 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:54 | Date : 04.02.2015 ] 
